"","Gene","Chromosome"
"11711","MAF1","chr8"
"11712","INSL4","chr9"
"11713","TMOD1","chr9"
"11714","MRGPRX1","chr11"
"11715","MMP20","chr11"
"11716","AVIL","chr12"
"11717","HPD","chr12"
"11718","BBOF1","chr14"
"11719","PRR35","chr16"
"11720","VKORC1","chr16"
"11721","TRIM25","chr17"
"11722","SEPTIN9","chr17"
"11723","IMPA2","chr18"
"11724","WDR88","chr19"
"11725","PIH1D1","chr19"
"11726","PPP1R3D","chr20"
"11727","POTEH","chr22"
"11728","MSL3","chrX"
"11729","GKN1","chr2"
"11730","LMCD1","chr3"
"11731","RAD18","chr3"
"11732","FAM53A","chr4"
"11733","C7orf25","chr7"
"11734","PNMA2","chr8"
"11735","IL7","chr8"
"11736","TRHR","chr8"
"11737","WDR11","chr10"
"11738","ABCG4","chr11"
"11739","KLRA1P","chr12"
"11740","NETO2","chr16"
"11741","AATK","chr17"
"11742","PIP5K1C","chr19"
"11743","LMF2","chr22"
"11744","UTY","chrY"
"11745","RTCA","chr1"
"11746","SPATA17","chr1"
"11747","LMAN2L","chr2"
"11748","NDUFS1","chr2"
"11749","PPP4R2","chr3"
"11750","PCCB","chr3"
"11751","GNRHR","chr4"
"11752","LEF1","chr4"
"11753","TSSK1B","chr5"
"11754","FCHSD1","chr5"
"11755","H3C11","chr6"
"11756","PPP2R5D","chr6"
"11757","RIPPLY2","chr6"
"11758","SSC4D","chr7"
"11759","OR2A1","chr7"
"11760","PPP1R32","chr11"
"11761","TBC1D15","chr12"
"11762","MYO1H","chr12"
"11763","IFT88","chr13"
"11764","TRAPPC6B","chr14"
"11765","CCDC197","chr14"
"11766","SNORD114-11","chr14"
"11767","SNORD116-12","chr15"
"11768","CCDC32","chr15"
"11769","TCF12","chr15"
"11770","CIAO2A","chr15"
"11771","CTF1","chr16"
"11772","CCDC113","chr16"
"11773","CDYL2","chr16"
"11774","SMG6","chr17"
"11775","TMEM99","chr17"
"11776","EID2B","chr19"
"11777","ZNF575","chr19"
"11778","CBLC","chr19"
"11779","DMPK","chr19"
"11780","TBC1D17","chr19"
"11781","KLK3","chr19"
"11782","ZBTB45","chr19"
"11783","C20orf85","chr20"
"11784","NPBWR2","chr20"
"11785","IGLL5","chr22"
"11786","C1QTNF12","chr1"
"11787","SCNN1D","chr1"
"11788","MXRA8","chr1"
"11789","PRXL2B","chr1"
"11790","TPRG1L","chr1"
"11791","WRAP73","chr1"
"11792","SLC25A33","chr1"
"11793","RBP7","chr1"
"11794","CLCN6","chr1"
"11795","DDI2","chr1"
"11796","TAS1R2","chr1"
"11797","FGR","chr1"
"11798","RAB42","chr1"
"11799","CCDC28B","chr1"
"11800","RHBDL2","chr1"
"11801","EDN2","chr1"
"11802","ZMYND12","chr1"
"11803","CYP4Z1","chr1"
"11804","NRDC","chr1"
"11805","ITGB3BP","chr1"
"11806","PTGER3","chr1"
"11807","PIGK","chr1"
"11808","GFI1","chr1"
"11809","BCAR3","chr1"
"11810","GCLM","chr1"
"11811","FAM102B","chr1"
"11812","AP4B1","chr1"
"11813","RNF115","chr1"
"11814","GPR89B","chr1"
"11815","H3C13","chr1"
"11816","MCL1","chr1"
"11817","PSMB4","chr1"
"11818","S100A6","chr1"
"11819","GLMP","chr1"
"11820","CASQ1","chr1"
"11821","FCGR2B","chr1"
"11822","RGS16","chr1"
"11823","GLRX2","chr1"
"11824","ZBTB41","chr1"
"11825","INAVA","chr1"
"11826","SLC41A1","chr1"
"11827","MAPKAPK2","chr1"
"11828","DUSP10","chr1"
"11829","H2AW","chr1"
"11830","TFB2M","chr1"
"11831","ITGB1BP1","chr2"
"11832","KLF11","chr2"
"11833","HPCAL1","chr2"
"11834","FAM228A","chr2"
"11835","ADCY3","chr2"
"11836","RTN4","chr2"
"11837","BCL11A","chr2"
"11838","B3GNT2","chr2"
"11839","GFPT1","chr2"
"11840","NAGK","chr2"
"11841","ELMOD3","chr2"
"11842","SH2D6","chr2"
"11843","C2orf49","chr2"
"11844","SEPTIN10","chr2"
"11845","EN1","chr2"
"11846","HS6ST1","chr2"
"11847","OSGEPL1","chr2"
"11848","GLS","chr2"
"11849","TMEM237","chr2"
"11850","ATIC","chr2"
"11851","ATG9A","chr2"
"11852","PAX3","chr2"
"11853","ANO7","chr2"
"11854","CAMK1","chr3"
"11855","CLEC3B","chr3"
"11856","ZNF589","chr3"
"11857","C3orf62","chr3"
"11858","AC104452.1","chr3"
"11859","TMEM115","chr3"
"11860","MANF","chr3"
"11861","RAD54L2","chr3"
"11862","SYNPR","chr3"
"11863","UBA3","chr3"
"11864","CHCHD6","chr3"
"11865","RBP1","chr3"
"11866","GRK7","chr3"
"11867","ATP1B3","chr3"
"11868","RNF13","chr3"
"11869","ARL14","chr3"
"11870","BDH1","chr3"
"11871","TNIP2","chr4"
"11872","EVC2","chr4"
"11873","LGI2","chr4"
"11874","TBC1D19","chr4"
"11875","TMPRSS11A","chr4"
"11876","RCHY1","chr4"
"11877","SCARB2","chr4"
"11878","PRDM8","chr4"
"11879","TMEM150C","chr4"
"11880","DAPP1","chr4"
"11881","UBE2D3","chr4"
"11882","AC126283.2","chr4"
"11883","C4orf51","chr4"
"11884","NAF1","chr4"
"11885","SLC6A3","chr5"
"11886","RETREG1","chr5"
"11887","PELO","chr5"
"11888","PIK3R1","chr5"
"11889","FEM1C","chr5"
"11890","LEAP2","chr5"
"11891","C5orf15","chr5"
"11892","TIFAB","chr5"
"11893","GRPEL2","chr5"
"11894","CCNJL","chr5"
"11895","CPLX2","chr5"
"11896","ZFP2","chr5"
"11897","SQSTM1","chr5"
"11898","GFPT2","chr5"
"11899","H2BC5","chr6"
"11900","H2BC6","chr6"
"11901","BTN3A2","chr6"
"11902","ZKSCAN8","chr6"
"11903","MRPS18B","chr6"
"11904","KCTD20","chr6"
"11905","TREML1","chr6"
"11906","LRRC73","chr6"
"11907","IL17F","chr6"
"11908","LRRC1","chr6"
"11909","BMP5","chr6"
"11910","RAB23","chr6"
"11911","PRIM2","chr6"
"11912","CGAS","chr6"
"11913","CYB5R4","chr6"
"11914","KLHL32","chr6"
"11915","ATG5","chr6"
"11916","CD164","chr6"
"11917","CALHM4","chr6"
"11918","FAM162B","chr6"
"11919","NCOA7","chr6"
"11920","CITED2","chr6"
"11921","EZR","chr6"
"11922","ARL4A","chr7"
"11923","AGMO","chr7"
"11924","AGR2","chr7"
"11925","MTURN","chr7"
"11926","PSMA2","chr7"
"11927","SUMF2","chr7"
"11928","BUD23","chr7"
"11929","PPP1R35","chr7"
"11930","PCOLCE","chr7"
"11931","SERPINE1","chr7"
"11932","VGF","chr7"
"11933","AKR1B1","chr7"
"11934","RAB19","chr7"
"11935","OR2A5","chr7"
"11936","AGAP3","chr7"
"11937","GALNT11","chr7"
"11938","DEFA5","chr8"
"11939","FGL1","chr8"
"11940","RHOBTB2","chr8"
"11941","ASH2L","chr8"
"11942","C8orf86","chr8"
"11943","IKBKB","chr8"
"11944","LYPLA1","chr8"
"11945","CRH","chr8"
"11946","RPL7","chr8"
"11947","PTDSS1","chr8"
"11948","CPQ","chr8"
"11949","ATP6V1C1","chr8"
"11950","EBAG9","chr8"
"11951","ZHX1","chr8"
"11952","EFR3A","chr8"
"11953","ADCK5","chr8"
"11954","SPATA6L","chr9"
"11955","DMAC1","chr9"
"11956","DNAJA1","chr9"
"11957","BAG1","chr9"
"11958","CCL21","chr9"
"11959","PTAR1","chr9"
"11960","ALDH1A1","chr9"
"11961","SEMA4D","chr9"
"11962","BARX1","chr9"
"11963","CYLC2","chr9"
"11964","ATP6V1G1","chr9"
"11965","RBM18","chr9"
"11966","PPP6C","chr9"
"11967","CERCAM","chr9"
"11968","DOLPP1","chr9"
"11969","EXOSC2","chr9"
"11970","SURF2","chr9"
"11971","ABCA2","chr9"
"11972","NRARP","chr9"
"11973","PLXDC2","chr10"
"11974","MIR1915","chr10"
"11975","ACBD5","chr10"
"11976","GJD4","chr10"
"11977","CSGALNACT2","chr10"
"11978","HERC4","chr10"
"11979","NEUROG3","chr10"
"11980","TYSND1","chr10"
"11981","MMRN2","chr10"
"11982","PDE6C","chr10"
"11983","TLL2","chr10"
"11984","PGAM1","chr10"
"11985","LOXL4","chr10"
"11986","CHUK","chr10"
"11987","MRPL43","chr10"
"11988","KCNIP2","chr10"
"11989","ACSL5","chr10"
"11990","LHPP","chr10"
"11991","GLRX3","chr10"
"11992","LINC02870","chr10"
"11993","RASSF7","chr11"
"11994","SYT8","chr11"
"11995","OR51L1","chr11"
"11996","OR52A1","chr11"
"11997","MRPL17","chr11"
"11998","EIF3F","chr11"
"11999","SAA2-SAA4","chr11"
"12000","GAS2","chr11"
"12001","NAT10","chr11"
"12002","EHF","chr11"
"12003","AMBRA1","chr11"
"12004","F2","chr11"
"12005","SLC39A13","chr11"
"12006","OR5T2","chr11"
"12007","RTN4RL2","chr11"
"12008","MS4A2","chr11"
"12009","GANAB","chr11"
"12010","TRMT112","chr11"
"12011","SLC25A45","chr11"
"12012","AQP11","chr11"
"12013","CCDC89","chr11"
"12014","MMP12","chr11"
"12015","CASP1","chr11"
"12016","RAB39A","chr11"
"12017","C11orf1","chr11"
"12018","CLDN25","chr11"
"12019","NLRX1","chr11"
"12020","SC5D","chr11"
"12021","CD4","chr12"
"12022","PHB2","chr12"
"12023","DDX11","chr12"
"12024","AC024940.1","chr12"
"12025","POU6F1","chr12"
"12026","SDR9C7","chr12"
"12027","DCTN2","chr12"
"12028","MARCHF9","chr12"
"12029","EPYC","chr12"
"12030","SLC25A3","chr12"
"12031","DTX1","chr12"
"12032","SLC8B1","chr12"
"12033","AL021546.1","chr12"
"12034","SRSF9","chr12"
"12035","DDX55","chr12"
"12036","MMP17","chr12"
"12037","PGAM5","chr12"
"12038","ZNF140","chr12"
"12039","KCTD4","chr13"
"12040","KCTD12","chr13"
"12041","LAMP1","chr13"
"12042","CCNB1IP1","chr14"
"12043","OSGEP","chr14"
"12044","HNRNPC","chr14"
"12045","TRAC","chr14"
"12046","NOP9","chr14"
"12047","MNAT1","chr14"
"12048","MTHFD1","chr14"
"12049","RDH12","chr14"
"12050","GREM1","chr15"
"12051","C15orf54","chr15"
"12052","BMF","chr15"
"12053","CHST14","chr15"
"12054","EPB42","chr15"
"12055","DUOX1","chr15"
"12056","GNB5","chr15"
"12057","TEX9","chr15"
"12058","GTF2A2","chr15"
"12059","DAPK2","chr15"
"12060","PPCDC","chr15"
"12061","SH2D7","chr15"
"12062","MEX3B","chr15"
"12063","WDR73","chr15"
"12064","ISG20","chr15"
"12065","UNC45A","chr15"
"12066","TRAF7","chr16"
"12067","PMM2","chr16"
"12068","ZP2","chr16"
"12069","KIF22","chr16"
"12070","CPNE2","chr16"
"12071","CX3CL1","chr16"
"12072","NOL3","chr16"
"12073","AARS1","chr16"
"12074","METTL16","chr17"
"12075","NUP88","chr17"
"12076","PITPNM3","chr17"
"12077","GABARAP","chr17"
"12078","SOX15","chr17"
"12079","TRAF4","chr17"
"12080","BLMH","chr17"
"12081","LYZL6","chr17"
"12082","MRPL45","chr17"
"12083","KRT40","chr17"
"12084","KRTAP1-5","chr17"
"12085","KRTAP1-3","chr17"
"12086","NAGLU","chr17"
"12087","PTGES3L-AARSD1","chr17"
"12088","MEIOC","chr17"
"12089","MSI2","chr17"
"12090","SUPT4H1","chr17"
"12091","SOX9","chr17"
"12092","JPT1","chr17"
"12093","CDK3","chr17"
"12094","CBX2","chr17"
"12095","ANAPC11","chr17"
"12096","PSTPIP2","chr18"
"12097","CNDP2","chr18"
"12098","NFATC1","chr18"
"12099","THEG","chr19"
"12100","ACER1","chr19"
"12101","DENND1C","chr19"
"12102","MCEMP1","chr19"
"12103","LRRC8E","chr19"
"12104","EIF3G","chr19"
"12105","CDKN2D","chr19"
"12106","CCDC151","chr19"
"12107","ACP5","chr19"
"12108","IER2","chr19"
"12109","CYP4F22","chr19"
"12110","EPS15L1","chr19"
"12111","PBX4","chr19"
"12112","ZNF302","chr19"
"12113","ZNF792","chr19"
"12114","ARHGAP33","chr19"
"12115","IFNL3","chr19"
"12116","RPS16","chr19"
"12117","TIMM50","chr19"
"12118","MAP3K10","chr19"
"12119","CD177","chr19"
"12120","ZNF284","chr19"
"12121","NECTIN2","chr19"
"12122","SIX5","chr19"
"12123","FOXA3","chr19"
"12124","HSD17B14","chr19"
"12125","NUP62","chr19"
"12126","JOSD2","chr19"
"12127","ZNF534","chr19"
"12128","ZNF578","chr19"
"12129","ZNF347","chr19"
"12130","MIR523","chr19"
"12131","MIR527","chr19"
"12132","LENG9","chr19"
"12133","UBE2S","chr19"
"12134","ZNF71","chr19"
"12135","ZNF256","chr19"
"12136","RSPO4","chr20"
"12137","ADAM33","chr20"
"12138","ADRA1D","chr20"
"12139","GPCPD1","chr20"
"12140","MGME1","chr20"
"12141","PAX1","chr20"
"12142","CST9L","chr20"
"12143","ACSS1","chr20"
"12144","DEFB123","chr20"
"12145","GSS","chr20"
"12146","EIF6","chr20"
"12147","WFDC13","chr20"
"12148","NCOA5","chr20"
"12149","SPO11","chr20"
"12150","RBM11","chr21"
"12151","APP","chr21"
"12152","IGLV4-60","chr22"
"12153","SMARCB1","chr22"
"12154","LRP5L","chr22"
"12155","NEFH","chr22"
"12156","AC004832.3","chr22"
"12157","APOL5","chr22"
"12158","GRAP2","chr22"
"12159","MIRLET7A3","chr22"
"12160","WWC3","chrX"
"12161","HCCS","chrX"
"12162","MAOA","chrX"
"12163","CDK16","chrX"
"12164","PAGE5","chrX"
"12165","ZNF185","chrX"
"12166","H6PD","chr1"
"12167","KDM1A","chr1"
"12168","CLDN19","chr1"
"12169","LRRC8D","chr1"
"12170","BARHL2","chr1"
"12171","HORMAD1","chr1"
"12172","PIP5K1A","chr1"
"12173","UBQLN4","chr1"
"12174","FAM20B","chr1"
"12175","OR1C1","chr1"
"12176","PKDCC","chr2"
"12177","GPR148","chr2"
"12178","TYW5","chr2"
"12179","DIS3L2","chr2"
"12180","U2SURP","chr3"
"12181","PLOD2","chr3"
"12182","P2RY1","chr3"
"12183","SEC62","chr3"
"12184","CXCL6","chr4"
"12185","ANXA5","chr4"
"12186","TMEM171","chr5"
"12187","RGMB","chr5"
"12188","UBLCP1","chr5"
"12189","GLRXP3","chr5"
"12190","STC2","chr5"
"12191","KDM1B","chr6"
"12192","LGSN","chr6"
"12193","NYAP1","chr7"
"12194","FAM71F1","chr7"
"12195","INSIG1","chr7"
"12196","KLHL38","chr8"
"12197","KLHL9","chr9"
"12198","IFT74","chr9"
"12199","ANKRD20A1","chr9"
"12200","ZNF322P1","chr9"
"12201","MSS51","chr10"
"12202","AMPD3","chr11"
"12203","OR9Q1","chr11"
"12204","ENDOD1","chr11"
"12205","TP53AIP1","chr11"
"12206","GAPDH","chr12"
"12207","H2AJ","chr12"
"12208","CPNE8","chr12"
"12209","TPH2","chr12"
"12210","KATNAL1","chr13"
"12211","RPLP1","chr15"
"12212","GRAMD2A","chr15"
"12213","CA7","chr16"
"12214","SLC47A1","chr17"
"12215","COPZ2","chr17"
"12216","B4GALT6","chr18"
"12217","ZGLP1","chr19"
"12218","CCDC114","chr19"
"12219","DEFB125","chr20"
"12220","AURKA","chr20"
"12221","KRTAP6-3","chr21"
"12222","RASL10A","chr22"
"12223","CBX6","chr22"
"12224","ZBED4","chr22"
"12225","PABPC5","chrX"
"12226","GPR157","chr1"
"12227","GBP6","chr1"
"12228","OLFM3","chr1"
"12229","IL5RA","chr3"
"12230","MB21D2","chr3"
"12231","CFAP97","chr4"
"12232","MRPL14","chr6"
"12233","CNPY4","chr7"
"12234","ODF1","chr8"
"12235","AZIN1","chr8"
"12236","TAF2","chr8"
"12237","ADGRB1","chr8"
"12238","PBLD","chr10"
"12239","SFRP5","chr10"
"12240","IMMP1L","chr11"
"12241","BACE1","chr11"
"12242","TEAD4","chr12"
"12243","TAS2R13","chr12"
"12244","ANP32D","chr12"
"12245","P2RX2","chr12"
"12246","SETD3","chr14"
"12247","RPP25","chr15"
"12248","ALOX12B","chr17"
"12249","ANGPTL8","chr19"
"12250","ZNF234","chr19"
"12251","FAM71E1","chr19"
"12252","TMEM50B","chr21"
"12253","TMEM121B","chr22"
"12254","AR","chrX"
"12255","PBX1","chr1"
"12256","VPS54","chr2"
"12257","FASTKD1","chr2"
"12258","METTL8","chr2"
"12259","PRSS45P","chr3"
"12260","CHST2","chr3"
"12261","DGKQ","chr4"
"12262","DCLK2","chr4"
"12263","TCP11","chr6"
"12264","CDC14B","chr9"
"12265","ATAD1","chr10"
"12266","DEPDC7","chr11"
"12267","TAS2R9","chr12"
"12268","RLBP1","chr15"
"12269","PFAS","chr17"
"12270","CCL23","chr17"
"12271","LRRC46","chr17"
"12272","AC008878.1","chr19"
"12273","ZNF491","chr19"
"12274","COPE","chr19"
"12275","WDR13","chrX"
"12276","SRARP","chr1"
"12277","PLA2G2E","chr1"
"12278","ZNF672","chr1"
"12279","ATRAID","chr2"
"12280","SRD5A2","chr2"
"12281","FARSB","chr2"
"12282","GAPT","chr5"
"12283","ARMC12","chr6"
"12284","TAAR1","chr6"
"12285","NFX1","chr9"
"12286","ODF2","chr9"
"12287","SFXN2","chr10"
"12288","ITPRIP","chr10"
"12289","KITLG","chr12"
"12290","CLPX","chr15"
"12291","NRG4","chr15"
"12292","COG8","chr16"
"12293","CA5A","chr16"
"12294","GDF15","chr19"
"12295","AL035460.1","chr20"
"12296","CRYBB2","chr22"
"12297","BTF3L4","chr1"
"12298","SPRR1A","chr1"
"12299","ARHGEF2","chr1"
"12300","PIK3C2B","chr1"
"12301","IGKV1-13","chr2"
"12302","RABL2A","chr2"
"12303","NAB1","chr2"
"12304","CXCR1","chr2"
"12305","UGT1A6","chr2"
"12306","TAMM41","chr3"
"12307","HIGD1A","chr3"
"12308","TDGF1","chr3"
"12309","SHISA5","chr3"
"12310","GPR156","chr3"
"12311","LXN","chr3"
"12312","SEPTIN11","chr4"
"12313","SLC25A31","chr4"
"12314","CASP3","chr4"
"12315","GZMA","chr5"
"12316","AGGF1","chr5"
"12317","LTV1","chr6"
"12318","RABGEF1","chr7"
"12319","STAG3","chr7"
"12320","ARF5","chr7"
"12321","IMPA1","chr8"
"12322","ERP44","chr9"
"12323","DCLRE1C","chr10"
"12324","CACNB2","chr10"
"12325","PLEKHS1","chr10"
"12326","UROS","chr10"
"12327","SPTY2D1","chr11"
"12328","BBOX1","chr11"
"12329","SPI1","chr11"
"12330","MS4A3","chr11"
"12331","PLAAT2","chr11"
"12332","ANKRD13D","chr11"
"12333","SCN4B","chr11"
"12334","PRDM10","chr11"
"12335","AL136439.1","chr13"
"12336","RTF1","chr15"
"12337","PIF1","chr15"
"12338","NFATC3","chr16"
"12339","HSD17B2","chr16"
"12340","TMEM102","chr17"
"12341","AC002094.3","chr17"
"12342","PEX12","chr17"
"12343","MKS1","chr17"
"12344","GZMM","chr19"
"12345","PRR22","chr19"
"12346","FBL","chr19"
"12347","NR1H2","chr19"
"12348","ZNF611","chr19"
"12349","CACNG8","chr19"
"12350","IDH3B","chr20"
"12351","ACTL10","chr20"
"12352","ACOT8","chr20"
"12353","SLC12A5","chr20"
"12354","GART","chr21"
"12355","PRRG3","chrX"
"12356","TRAT1","chr3"
"12357","ACTL6A","chr3"
"12358","RASA1","chr5"
"12359","FIGNL1","chr7"
"12360","SLC25A40","chr7"
"12361","SLC37A3","chr7"
"12362","TOR2A","chr9"
"12363","CPEB3","chr10"
"12364","RAG2","chr11"
"12365","OR8J1","chr11"
"12366","STX3","chr11"
"12367","ALDOA","chr16"
"12368","SMARCE1","chr17"
"12369","GALR1","chr18"
"12370","PTK6","chr20"
"12371","EMD","chrX"
"12372","TP73-AS1","chr1"
"12373","MFN2","chr1"
"12374","CDA","chr1"
"12375","XKR8","chr1"
"12376","EYA3","chr1"
"12377","KHDRBS1","chr1"
"12378","COL8A2","chr1"
"12379","POU3F1","chr1"
"12380","ZNF684","chr1"
"12381","PTCH2","chr1"
"12382","SPATA6","chr1"
"12383","MCOLN3","chr1"
"12384","CCN1","chr1"
"12385","GPR88","chr1"
"12386","SLC30A7","chr1"
"12387","AHCYL1","chr1"
"12388","SLC6A17","chr1"
"12389","CD53","chr1"
"12390","WNT2B","chr1"
"12391","PEX11B","chr1"
"12392","KCNN3","chr1"
"12393","GPATCH4","chr1"
"12394","FCRLA","chr1"
"12395","SH2D1B","chr1"
"12396","AVPR1B","chr1"
"12397","WNT3A","chr1"
"12398","TOMM20","chr1"
"12399","TAF1B","chr2"
"12400","KRTCAP3","chr2"
"12401","ZFP36L2","chr2"
"12402","CEP68","chr2"
"12403","MOB1A","chr2"
"12404","WDR54","chr2"
"12405","RGPD1","chr2"
"12406","CIAO1","chr2"
"12407","DBI","chr2"
"12408","RBMS1","chr2"
"12409","MLPH","chr2"
"12410","GPC1","chr2"
"12411","COLQ","chr3"
"12412","OR5K4","chr3"
"12413","FSTL1","chr3"
"12414","DZIP1L","chr3"
"12415","LRPAP1","chr4"
"12416","ANAPC4","chr4"
"12417","RBPJ","chr4"
"12418","DCUN1D4","chr4"
"12419","SPINK2","chr4"
"12420","SMARCAD1","chr4"
"12421","ADH1A","chr4"
"12422","MAD2L1","chr4"
"12423","CCDC127","chr5"
"12424","NDUFS4","chr5"
"12425","GABRP","chr5"
"12426","BOD1","chr5"
"12427","JARID2","chr6"
"12428","FAM8A1","chr6"
"12429","H2AC17","chr6"
"12430","MAS1L","chr6"
"12431","GTF2H4","chr6"
"12432","SAPCD1","chr6"
"12433","SNRPC","chr6"
"12434","NR2E1","chr6"
"12435","RFX6","chr6"
"12436","ZFAND2A","chr7"
"12437","ZDHHC4","chr7"
"12438","ZNF12","chr7"
"12439","IL6","chr7"
"12440","GCK","chr7"
"12441","CASTOR3","chr7"
"12442","GIMAP6","chr7"
"12443","FAM160B2","chr8"
"12444","LYN","chr8"
"12445","E2F5","chr8"
"12446","DECR1","chr8"
"12447","TSPYL5","chr8"
"12448","SPATC1","chr8"
"12449","IFNA4","chr9"
"12450","FANCG","chr9"
"12451","PGM5","chr9"
"12452","ANGPTL2","chr9"
"12453","COQ4","chr9"
"12454","NMT2","chr10"
"12455","VSIR","chr10"
"12456","CC2D2B","chr10"
"12457","CALHM2","chr10"
"12458","PDZD8","chr10"
"12459","TOLLIP","chr11"
"12460","TPH1","chr11"
"12461","MTCH2","chr11"
"12462","STX5","chr11"
"12463","SNX15","chr11"
"12464","SIPA1","chr11"
"12465","FOLR2","chr11"
"12466","PANX1","chr11"
"12467","CLEC1B","chr12"
"12468","WBP11","chr12"
"12469","SLCO1B1","chr12"
"12470","TUBA1A","chr12"
"12471","SMARCD1","chr12"
"12472","TARBP2","chr12"
"12473","COQ10A","chr12"
"12474","HELB","chr12"
"12475","TCTN2","chr12"
"12476","WASF3","chr13"
"12477","GPALPP1","chr13"
"12478","PHF11","chr13"
"12479","DHRS1","chr14"
"12480","STXBP6","chr14"
"12481","GPR137C","chr14"
"12482","FAM71D","chr14"
"12483","NDUFB1","chr14"
"12484","SNORD116-9","chr15"
"12485","SNORD115-7","chr15"
"12486","FAN1","chr15"
"12487","PDCD7","chr15"
"12488","LRRC28","chr15"
"12489","RAB40C","chr16"
"12490","PTX4","chr16"
"12491","PRSS33","chr16"
"12492","TFAP4","chr16"
"12493","EEF2KMT","chr16"
"12494","AQP8","chr16"
"12495","STX4","chr16"
"12496","SLC5A2","chr16"
"12497","B3GNT9","chr16"
"12498","OR1E2","chr17"
"12499","P2RX5","chr17"
"12500","TEKT1","chr17"
"12501","TMEM88","chr17"
"12502","PMP22","chr17"
"12503","ZSWIM7","chr17"
"12504","TBC1D29P","chr17"
"12505","KRT26","chr17"
"12506","DNAJC7","chr17"
"12507","STAT3","chr17"
"12508","RNFT1","chr17"
"12509","SAP30BP","chr17"
"12510","CHMP6","chr17"
"12511","OXLD1","chr17"
"12512","ARHGAP28","chr18"
"12513","LIPG","chr18"
"12514","CBLN2","chr18"
"12515","ZNF556","chr19"
"12516","TLE2","chr19"
"12517","LRG1","chr19"
"12518","RAB3D","chr19"
"12519","CALR","chr19"
"12520","OR10H3","chr19"
"12521","LRRC25","chr19"
"12522","DDX49","chr19"
"12523","URI1","chr19"
"12524","THAP8","chr19"
"12525","ZNF260","chr19"
"12526","EIF3K","chr19"
"12527","EHD2","chr19"
"12528","CD37","chr19"
"12529","ZNF600","chr19"
"12530","SOX12","chr20"
"12531","UBOX5","chr20"
"12532","TMX4","chr20"
"12533","XRN2","chr20"
"12534","SPAG4","chr20"
"12535","RPRD1B","chr20"
"12536","TTPAL","chr20"
"12537","MTG2","chr20"
"12538","SOX18","chr20"
"12539","NDUFV3","chr21"
"12540","CRKL","chr22"
"12541","IGLV2-14","chr22"
"12542","IGLV3-10","chr22"
"12543","SUSD2","chr22"
"12544","TPST2","chr22"
"12545","APOL4","chr22"
"12546","APOBEC3B","chr22"
"12547","ADM2","chr22"
"12548","TMEM164","chrX"
"12549","FAM50A","chrX"
"12550","RCC2","chr1"
"12551","GALE","chr1"
"12552","NCMAP","chr1"
"12553","AUNIP","chr1"
"12554","LIN28A","chr1"
"12555","TENT5B","chr1"
"12556","CAP1","chr1"
"12557","ANKRD34A","chr1"
"12558","DPM3","chr1"
"12559","PRCC","chr1"
"12560","TIMM17A","chr1"
"12561","CHI3L1","chr1"
"12562","CNIH3","chr1"
"12563","SDE2","chr1"
"12564","SPRED2","chr2"
"12565","REG1B","chr2"
"12566","TRIM43","chr2"
"12567","SULT1C4","chr2"
"12568","LIMS1","chr2"
"12569","ACTR3","chr2"
"12570","NIF3L1","chr2"
"12571","IHH","chr2"
"12572","WDFY1","chr2"
"12573","UGT1A9","chr2"
"12574","ANO10","chr3"
"12575","DNASE1L3","chr3"
"12576","TADA2B","chr4"
"12577","GSX2","chr4"
"12578","UGT2B4","chr4"
"12579","TMEM154","chr4"
"12580","TMED7-TICAM2","chr5"
"12581","CCND3","chr6"
"12582","KLHDC3","chr6"
"12583","SLC29A1","chr6"
"12584","SLC22A1","chr6"
"12585","ZNF138","chr7"
"12586","DNAJB6","chr7"
"12587","MIGA2","chr9"
"12588","PARVA","chr11"
"12589","ZNF202","chr11"
"12590","SMAGP","chr12"
"12591","PPP1R12A","chr12"
"12592","CDK17","chr12"
"12593","MTMR6","chr13"
"12594","GPR18","chr13"
"12595","OR11H4","chr14"
"12596","GTF2A1","chr14"
"12597","XRCC3","chr14"
"12598","LCMT2","chr15"
"12599","BTBD1","chr15"
"12600","FAM169B","chr15"
"12601","ZNF267","chr16"
"12602","ZDHHC7","chr16"
"12603","CHAD","chr17"
"12604","KCNN1","chr19"
"12605","GPI","chr19"
"12606","ZFP14","chr19"
"12607","ITPKC","chr19"
"12608","PHLDB3","chr19"
"12609","PTH2","chr19"
"12610","THBD","chr20"
"12611","HMGN1","chr21"
"12612","IGLV2-8","chr22"
"12613","SHROOM2","chrX"
"12614","PRDX4","chrX"
"12615","RNF113A","chrX"
"12616","FAM122C","chrX"
"12617","STK40","chr1"
"12618","CC2D1B","chr1"
"12619","SYT6","chr1"
"12620","SH3YL1","chr2"
"12621","TNK2","chr3"
"12622","HERC5","chr4"
"12623","FOXF2","chr6"
"12624","OR2B3","chr6"
"12625","ZNF76","chr6"
"12626","ENPP1","chr6"
"12627","PBOV1","chr6"
"12628","TCP1","chr6"
"12629","TTYH3","chr7"
"12630","SCIN","chr7"
"12631","PSPH","chr7"
"12632","ZSCAN25","chr7"
"12633","MSC","chr8"
"12634","TBC1D13","chr9"
"12635","HPSE2","chr10"
"12636","OR5B17","chr11"
"12637","FBXL14","chr12"
"12638","SPSB2","chr12"
"12639","HMGA2","chr12"
"12640","ANAPC7","chr12"
"12641","IGHG1","chr14"
"12642","HDDC3","chr15"
"12643","CXCL16","chr17"
